YearsExperience,EducationLevel,JobRole,Salary
22,PhD,Manager,132982
13,Master,Software Engineer,86895
27,Master,Manager,135921
9,PhD,Data Scientist,87480
19,Master,Software Engineer,109452
18,PhD,Data Scientist,114892
24,Bachelor,Software Engineer,106843
1,Bachelor,Manager,54295
9,Bachelor,Analyst,58938
13,PhD,Analyst,91410
1,Bachelor,Software Engineer,34945
14,Bachelor,Manager,93603
15,Master,Manager,101240
21,PhD,HR,116775
8,Master,HR,66795
30,Bachelor,HR,121472
12,PhD,Manager,105703
13,PhD,Analyst,93991
14,Master,Data Scientist,97792
24,Bachelor,HR,97380
22,Bachelor,Analyst,101433
3,Bachelor,Data Scientist,55375
21,Master,Software Engineer,108119
22,Master,Software Engineer,114571
0,Master,Manager,55071
6,Bachelor,Analyst,51173
13,Bachelor,Analyst,82076
0,Master,Manager,52779
3,PhD,Manager,82000
2,Bachelor,Software Engineer,43306
16,Master,Data Scientist,105890
25,PhD,Data Scientist,149849
22,Master,Analyst,113781
27,Bachelor,Data Scientist,131882
0,PhD,Analyst,55002
3,Bachelor,Software Engineer,48104
16,Bachelor,Software Engineer,92546
26,Bachelor,Analyst,114134
2,Master,Analyst,52167
30,Bachelor,Software Engineer,134795
11,Bachelor,Manager,82986
7,Bachelor,Software Engineer,64195
18,PhD,Manager,127811
15,Bachelor,Analyst,82740
18,Master,Software Engineer,102121
24,Master,Manager,130928
18,PhD,Analyst,100618
9,PhD,Software Engineer,89293
20,PhD,Manager,130306
5,Bachelor,Data Scientist,57521
29,PhD,Manager,152928
1,PhD,Data Scientist,63318
23,PhD,Manager,143324
11,PhD,Analyst,83979
20,Master,Analyst,101230
12,Bachelor,Manager,93572
8,PhD,HR,72079
16,Bachelor,Analyst,79722
6,Bachelor,Data Scientist,62169
21,PhD,Manager,137243
16,Bachelor,Analyst,82994
7,Master,Analyst,69050
1,Master,Manager,51630
29,Master,Manager,147157
22,PhD,Analyst,118222
10,PhD,Manager,102087
13,PhD,HR,92654
10,PhD,Analyst,80568
27,Bachelor,Analyst,116964
7,Master,Software Engineer,68522
25,Master,HR,119604
25,Bachelor,Data Scientist,121550
3,Bachelor,Data Scientist,52089
1,PhD,Data Scientist,67206
10,Bachelor,Data Scientist,69563
24,Bachelor,Analyst,110703
8,Bachelor,Data Scientist,70042
28,Master,Data Scientist,135744
8,Bachelor,Analyst,62581
16,PhD,HR,104302
9,Master,Software Engineer,76979
18,Master,HR,93746
12,Master,HR,61946
28,Master,HR,118465
16,PhD,Manager,113481
0,Bachelor,Data Scientist,45209
24,Bachelor,Analyst,107983
22,Bachelor,Analyst,94926
19,Bachelor,Data Scientist,103821
5,PhD,Manager,78813
29,PhD,Manager,158723
18,Bachelor,HR,84869
10,Bachelor,Manager,74982
3,Bachelor,HR,40261
17,PhD,Data Scientist,112861
20,Bachelor,HR,84690
30,Bachelor,Manager,139997
22,Master,Manager,119656
5,PhD,Analyst,66574
29,PhD,Software Engineer,142650
1,Master,Manager,69529
27,Master,HR,119443
24,Bachelor,Software Engineer,109924
2,PhD,Data Scientist,62276
25,Bachelor,Data Scientist,121224
12,PhD,Analyst,84108
13,PhD,Analyst,96207
9,Bachelor,Manager,73557
5,Master,Data Scientist,69975
9,Bachelor,Data Scientist,76080
17,PhD,Software Engineer,108824
11,Bachelor,HR,67828
20,Bachelor,Analyst,98538
15,Master,Data Scientist,103497
16,PhD,Manager,114623
25,PhD,Data Scientist,134650
12,Bachelor,HR,54390
14,Bachelor,HR,75752
1,Master,Analyst,49024
20,PhD,Software Engineer,108838
28,Bachelor,Analyst,113479
12,PhD,Manager,110076
6,Bachelor,Software Engineer,63969
20,Bachelor,Analyst,90638
11,Bachelor,Manager,86955
25,PhD,Analyst,130335
10,Master,Manager,86731
25,PhD,Data Scientist,138203
12,PhD,Software Engineer,95502
30,PhD,HR,137427
21,Bachelor,Manager,115378
19,Bachelor,Data Scientist,100504
17,Bachelor,HR,80200
8,PhD,HR,76240
0,Master,Software Engineer,46434
1,Master,Data Scientist,67762
19,Bachelor,Software Engineer,89077
0,Bachelor,Software Engineer,42160
2,PhD,HR,58202
21,Bachelor,HR,96677
18,Bachelor,Manager,104847
10,Master,Manager,89769
23,Bachelor,HR,101245
29,PhD,Analyst,141327
1,PhD,Software Engineer,68509
29,PhD,Manager,164384
10,PhD,Software Engineer,97631
0,Bachelor,Software Engineer,32224
1,Bachelor,Data Scientist,53517
1,Master,HR,47107
6,Master,Analyst,63225
23,PhD,HR,124192
3,PhD,Analyst,67579
5,PhD,HR,67533
11,Master,HR,73785
7,PhD,Data Scientist,80839
13,Bachelor,Manager,84094
24,Bachelor,Software Engineer,109916
15,Master,Data Scientist,97117
8,Master,HR,69551
22,PhD,Analyst,115649
0,Bachelor,Manager,54796
21,Master,Software Engineer,114935
1,Master,Analyst,46902
7,PhD,HR,63415
19,Master,Analyst,97898
17,Master,Data Scientist,102341
4,PhD,Data Scientist,78951
21,Bachelor,Software Engineer,107255
30,PhD,Software Engineer,147817
15,PhD,HR,101940
14,PhD,Analyst,93790
1,PhD,Manager,73872
0,Bachelor,Analyst,31907
18,Bachelor,Manager,113653
19,Master,Data Scientist,113399
7,Master,Analyst,65946
5,Bachelor,HR,44520
15,PhD,Analyst,96138
9,Master,Analyst,70281
7,Master,Software Engineer,70097
29,Bachelor,Software Engineer,129208
18,PhD,Manager,122885
20,Bachelor,Manager,112240
25,Bachelor,Data Scientist,126923
30,Bachelor,Analyst,131505
9,Master,Data Scientist,73058
17,Master,Data Scientist,99750
1,Bachelor,Analyst,45594
16,PhD,Analyst,100962
2,PhD,Data Scientist,75470
5,Bachelor,Data Scientist,65497
22,Master,HR,103585
29,PhD,HR,134877
8,Bachelor,Manager,68705
27,PhD,Analyst,132150
24,Master,Software Engineer,125155
12,Bachelor,Data Scientist,80623
16,Bachelor,Analyst,81743
16,Bachelor,Manager,100759
12,Bachelor,Data Scientist,76504
6,PhD,Manager,91886
22,PhD,Software Engineer,122197
10,Master,HR,68247
24,Master,Software Engineer,122887
21,PhD,Software Engineer,126955
13,PhD,Analyst,92297
13,Bachelor,HR,72080
16,Bachelor,Manager,104893
23,Bachelor,Data Scientist,113975
27,PhD,Manager,153184
3,Master,HR,48760
29,Bachelor,Analyst,126084
25,PhD,Software Engineer,129000
9,PhD,Software Engineer,74838
27,PhD,Software Engineer,136743
16,Master,Software Engineer,92604
0,Master,Software Engineer,53519
24,PhD,Manager,138197
11,Bachelor,Manager,87689
13,Bachelor,Data Scientist,86330
30,Master,Analyst,136153
5,Master,Data Scientist,67356
19,Bachelor,Data Scientist,104740
12,PhD,Analyst,84769
7,Master,Data Scientist,76716
4,Master,Software Engineer,59864
14,PhD,HR,88780
26,Master,HR,112974
3,Master,HR,51108
16,Master,HR,85944
1,PhD,Data Scientist,62094
22,PhD,Software Engineer,124995
27,Bachelor,Data Scientist,138783
20,Bachelor,HR,88888
9,Bachelor,Manager,73243
28,Master,Analyst,132718
12,Master,Software Engineer,83790
0,Bachelor,Analyst,25042
22,PhD,Analyst,126803
16,Bachelor,Manager,95612
28,PhD,HR,137840
8,Master,Analyst,75646
8,PhD,Data Scientist,92701
30,Bachelor,Manager,145279
15,Bachelor,HR,63296
22,PhD,Manager,142597
16,PhD,Manager,116275
16,PhD,HR,105927
16,PhD,HR,89914
13,Bachelor,Data Scientist,73618
28,Bachelor,Manager,134427
21,PhD,HR,119233
26,Master,Software Engineer,135103
16,Master,Analyst,91312
18,PhD,Software Engineer,109993
19,PhD,HR,111057
12,Bachelor,Software Engineer,80059
14,PhD,Software Engineer,98208
11,Master,HR,79574
6,Bachelor,HR,46601
5,PhD,Manager,82899
1,Master,HR,43241
23,Master,HR,109311
6,PhD,Data Scientist,82257
25,Master,Software Engineer,122235
27,PhD,Manager,158894
19,PhD,Data Scientist,118681
7,PhD,Analyst,68361
10,Bachelor,Software Engineer,79985
0,Bachelor,Manager,45078
13,Master,Analyst,79769
12,PhD,Software Engineer,100239
6,Master,Software Engineer,65591
0,Master,Data Scientist,54641
4,PhD,Data Scientist,72996
21,Bachelor,Analyst,93570
22,PhD,Analyst,116446
2,Bachelor,Software Engineer,36245
17,PhD,HR,108887
18,Bachelor,Data Scientist,102475
19,Master,Analyst,103516
5,PhD,HR,58715
5,Bachelor,Analyst,44949
18,PhD,HR,106346
4,Bachelor,Software Engineer,47582
1,PhD,Software Engineer,62608
5,PhD,HR,62069
29,Bachelor,Manager,139276
12,Master,HR,73370
5,Master,HR,69906
25,Bachelor,HR,94152
18,PhD,Analyst,118601
29,Bachelor,Manager,133094
15,PhD,Software Engineer,106866
3,Master,Manager,71431
4,PhD,Analyst,60168
16,PhD,HR,97827
7,PhD,Data Scientist,87609
26,Master,Analyst,119745
30,Bachelor,Analyst,128276
5,PhD,Manager,90414
19,Bachelor,Analyst,90260
4,Master,Data Scientist,60702
14,Bachelor,Manager,94373
17,Master,Data Scientist,95288
21,PhD,Software Engineer,112354
15,Master,Software Engineer,95105
17,Master,Analyst,96366
18,PhD,Data Scientist,120519
10,Bachelor,Software Engineer,76542
1,PhD,Data Scientist,63479
24,Bachelor,Analyst,103226
10,Bachelor,Data Scientist,64487
8,Bachelor,HR,54998
9,Master,Data Scientist,76325
26,PhD,HR,130199
24,Bachelor,Data Scientist,110043
29,Bachelor,Manager,136236
5,Bachelor,Manager,70453
24,PhD,Manager,152221
27,PhD,Analyst,139381
16,Bachelor,HR,82595
12,Master,Data Scientist,86715
11,Bachelor,Software Engineer,78855
29,Bachelor,Software Engineer,128152
25,PhD,HR,123333
26,PhD,Software Engineer,134946
0,Master,Analyst,42212
21,Master,Manager,130803
18,Master,Manager,121882
26,PhD,Analyst,129891
14,PhD,Analyst,98735
26,PhD,Data Scientist,139303
23,PhD,Software Engineer,131198
2,PhD,Software Engineer,69200
30,Bachelor,Software Engineer,144247
24,Master,Data Scientist,134889
23,PhD,Analyst,130780
22,Master,HR,104442
18,Master,HR,96843
28,Bachelor,Manager,132900
23,Master,Manager,132485
7,Master,Analyst,72840
24,Bachelor,Analyst,100599
13,Bachelor,Software Engineer,84225
15,Bachelor,Data Scientist,78759
14,PhD,Analyst,95531
12,Master,Data Scientist,91493
1,Bachelor,Software Engineer,45170
1,Master,Data Scientist,59636
28,PhD,Data Scientist,157084
5,Bachelor,Software Engineer,54506
3,Bachelor,Software Engineer,46477
24,PhD,Manager,137075
7,Master,Data Scientist,76776
22,Bachelor,Manager,123461
17,Master,Software Engineer,99526
25,PhD,HR,126670
2,Master,Manager,65305
5,Bachelor,Software Engineer,47065
14,Master,Analyst,93108
0,PhD,Data Scientist,66134
25,PhD,Analyst,125602
10,PhD,HR,77188
0,Master,Manager,65160
19,Master,HR,100070
20,Master,Analyst,104239
19,Bachelor,HR,88260
26,Master,Analyst,122477
10,PhD,Software Engineer,87864
8,PhD,HR,71879
22,Master,Analyst,116031
10,PhD,Data Scientist,99560
25,Master,Manager,135963
13,PhD,Data Scientist,103828
18,PhD,Data Scientist,111352
22,PhD,HR,122424
14,PhD,Software Engineer,102842
13,Master,Analyst,83973
16,Bachelor,Software Engineer,90717
11,PhD,Software Engineer,98567
0,Bachelor,Manager,50956
28,PhD,HR,140059
26,PhD,Software Engineer,135561
12,PhD,HR,91769
12,Master,HR,78300
24,PhD,Data Scientist,137482
4,Bachelor,Manager,68768
8,Master,Analyst,72544
22,Bachelor,Manager,113768
27,Master,Analyst,121661
18,Master,Analyst,105739
7,PhD,HR,80344
25,Master,Software Engineer,121909
1,PhD,Manager,77734
8,Bachelor,Data Scientist,67123
22,Bachelor,Software Engineer,106640
3,Bachelor,Data Scientist,61776
1,Master,Data Scientist,50114
17,Master,HR,92693
20,Bachelor,Software Engineer,102394
4,PhD,Analyst,61997
8,Bachelor,Manager,75038
7,PhD,HR,75893
16,PhD,Software Engineer,103579
18,Bachelor,Software Engineer,98281
8,Master,Manager,89100
16,Master,Data Scientist,109447
8,Master,Software Engineer,80007
15,Master,Analyst,88589
11,PhD,Manager,103791
22,PhD,Data Scientist,130060
15,PhD,Analyst,100605
13,Bachelor,Data Scientist,81761
5,PhD,Analyst,73649
23,Bachelor,Manager,125599
0,Bachelor,Manager,51042
22,Bachelor,HR,95165
15,Master,Software Engineer,91556
23,PhD,HR,119803
16,Bachelor,Manager,98366
25,PhD,Data Scientist,146253
29,Master,Software Engineer,129881
8,PhD,Manager,98753
22,PhD,Manager,131031
13,PhD,HR,94631
25,PhD,Manager,140593
21,PhD,Data Scientist,136524
8,Bachelor,HR,55028
18,Bachelor,Data Scientist,98840
1,PhD,Data Scientist,69992
20,PhD,Manager,133154
30,Master,HR,135381
26,Bachelor,Analyst,109890
8,Bachelor,Analyst,60320
21,Bachelor,Software Engineer,102341
9,PhD,Analyst,81602
14,Bachelor,Software Engineer,85979
21,PhD,Manager,130555
16,Master,Data Scientist,103138
3,Master,HR,50377
24,Bachelor,Data Scientist,116067
20,Master,Manager,127395
7,PhD,Manager,86934
3,Master,Analyst,55344
23,PhD,Data Scientist,133953
3,Bachelor,Manager,53858
12,Bachelor,HR,63521
29,PhD,Manager,142740
4,PhD,HR,64844
24,PhD,Data Scientist,133967
7,PhD,Software Engineer,77269
12,PhD,Software Engineer,87804
20,PhD,HR,112603
28,PhD,Data Scientist,136050
19,Master,Manager,123099
23,Bachelor,Software Engineer,109567
4,Master,Data Scientist,74813
25,PhD,Data Scientist,141771
19,Master,Analyst,99251
19,Master,Software Engineer,99594
18,PhD,Software Engineer,113360
25,Master,Manager,130188
5,Bachelor,Data Scientist,65692
9,Master,Software Engineer,79128
23,Master,Manager,120903
9,PhD,Analyst,81970
14,PhD,Manager,110026
13,Bachelor,Analyst,75016
5,Bachelor,Manager,67463
7,Bachelor,Software Engineer,63016
23,Bachelor,Manager,118565
15,Master,HR,80529
21,Master,Software Engineer,100458
4,Bachelor,Software Engineer,40231
5,PhD,Analyst,69138
5,Master,Data Scientist,67728
0,PhD,Data Scientist,60525
3,PhD,Manager,73487
8,Master,Software Engineer,79804
0,PhD,Manager,76958
0,PhD,HR,46752
13,Master,Analyst,79339
30,PhD,Analyst,152658
19,Master,HR,96330
15,PhD,Software Engineer,96785
23,Master,Data Scientist,120854
15,PhD,Software Engineer,111422
15,Master,Software Engineer,91151
0,Master,Manager,55311
14,Bachelor,Analyst,79010
13,Master,HR,78109
6,Master,Analyst,66146
1,Master,Manager,61227
3,Bachelor,Manager,59344
18,Bachelor,Manager,110973
16,Master,Analyst,95030
0,Bachelor,Manager,54785
13,Master,Software Engineer,90666
7,Master,Manager,82056
16,Bachelor,Data Scientist,96763
20,Bachelor,HR,89279
7,Master,Data Scientist,76978
4,Bachelor,Software Engineer,55582
28,Bachelor,Manager,137713
16,PhD,Manager,118217
22,Bachelor,Manager,119177
2,Bachelor,HR,40678
13,Master,Software Engineer,92665
29,Master,Analyst,135126
23,Master,Manager,130498
3,PhD,Analyst,59732
15,PhD,HR,103694
23,Master,Manager,130966
21,Bachelor,HR,99944
26,Bachelor,Data Scientist,118786
25,PhD,Manager,139977
28,Bachelor,HR,113446
15,Master,Software Engineer,92934
2,Bachelor,Data Scientist,38586
8,PhD,Manager,92754
4,Bachelor,Manager,54120
25,PhD,Data Scientist,131267
23,Bachelor,Data Scientist,113769
25,Bachelor,Data Scientist,123854
9,Master,HR,65456
9,Master,Manager,87781
4,Bachelor,Manager,57871
5,PhD,HR,61554
29,PhD,Software Engineer,145505
14,Bachelor,Data Scientist,81411
3,Bachelor,HR,31831
15,PhD,Software Engineer,100225
21,Bachelor,HR,92200
28,PhD,Software Engineer,140767
4,PhD,Data Scientist,83719
14,Master,Software Engineer,98914
8,Bachelor,HR,55941
19,PhD,Analyst,113278
16,Master,HR,81385
27,PhD,HR,132253
14,PhD,Software Engineer,98972
17,Master,Data Scientist,105037
27,PhD,Analyst,134283
14,PhD,HR,88653
14,Master,HR,75674
11,Bachelor,Manager,91211
14,PhD,Software Engineer,98419
3,PhD,Analyst,67793
30,Bachelor,HR,115234
18,PhD,Analyst,106360
11,PhD,Software Engineer,98509
29,Bachelor,Data Scientist,129775
21,Master,Data Scientist,118469
28,PhD,Analyst,138904
22,Bachelor,HR,100487
13,PhD,Analyst,97210
15,PhD,Manager,114353
24,PhD,Analyst,125437
15,Master,Data Scientist,95682
1,Master,Data Scientist,63990
25,PhD,Software Engineer,127168
16,PhD,Data Scientist,109951
25,PhD,HR,123667
13,Master,Software Engineer,89820
3,Master,HR,53261
5,Master,Manager,73211
19,Bachelor,Data Scientist,104650
29,PhD,HR,148165
2,PhD,Analyst,61556
10,Master,Analyst,83241
30,Bachelor,Analyst,132197
30,PhD,HR,133250
4,Master,HR,52761
25,PhD,Analyst,126046
21,Bachelor,Manager,107777
6,Bachelor,Analyst,55176
30,Master,Data Scientist,147671
12,PhD,Software Engineer,89346
2,Bachelor,Data Scientist,54211
9,Master,HR,56754
25,Bachelor,Manager,123324
21,Master,Data Scientist,120090
2,PhD,Manager,79609
30,Master,Software Engineer,140264
10,Master,Manager,90367
21,Master,Data Scientist,117023
25,Master,HR,118958
7,Bachelor,Software Engineer,54405
21,Master,Analyst,109349
28,Bachelor,Data Scientist,134016
23,PhD,Analyst,130181
12,Bachelor,HR,71385
29,Master,Analyst,130780
10,Bachelor,Data Scientist,70757
27,Master,Manager,146674
8,Master,Software Engineer,81890
24,Bachelor,Data Scientist,115470
17,Master,Software Engineer,107841
12,Master,Manager,92870
15,PhD,Software Engineer,108423
1,Master,Data Scientist,56257
15,Bachelor,Software Engineer,89326
15,Bachelor,Manager,93679
20,Bachelor,Data Scientist,112213
4,PhD,Manager,86142
17,PhD,Analyst,104907
30,PhD,HR,140502
21,Bachelor,Data Scientist,106854
21,Bachelor,Manager,105402
15,Bachelor,Data Scientist,93770
25,Master,Analyst,123806
25,PhD,HR,122579
5,Master,Data Scientist,63319
2,PhD,HR,54452
19,PhD,Software Engineer,109086
23,PhD,Software Engineer,117385
15,Bachelor,Analyst,83405
16,Master,Software Engineer,109486
19,Bachelor,Manager,108905
24,Bachelor,Data Scientist,120123
16,Master,Software Engineer,106235
10,Bachelor,HR,62714
10,PhD,HR,76754
3,Bachelor,Analyst,45447
12,PhD,Manager,105041
15,Master,Software Engineer,84566
9,Master,Data Scientist,68993
14,Bachelor,Analyst,74603
19,Master,Analyst,105811
2,Bachelor,HR,34698
25,Master,Analyst,115471
26,PhD,Software Engineer,142545
15,Bachelor,Software Engineer,83689
6,PhD,Analyst,75537
27,Master,Analyst,122588
28,PhD,Analyst,135599
18,Bachelor,Data Scientist,100961
21,PhD,Analyst,118879
17,Master,Data Scientist,109917
29,Master,HR,124328
3,Bachelor,Analyst,58881
5,Bachelor,Manager,67677
4,Master,Manager,65958
30,Master,HR,135549
3,Bachelor,Analyst,39319
22,Bachelor,HR,101719
19,Bachelor,Analyst,101907
9,Bachelor,Software Engineer,67141
12,Master,Data Scientist,98469
8,PhD,Data Scientist,93244
7,Bachelor,Software Engineer,57329
30,Bachelor,Analyst,127572
8,PhD,Analyst,79252
26,PhD,Data Scientist,134156
18,PhD,Manager,124576
15,Master,Analyst,96693
18,Bachelor,Software Engineer,87204
26,Bachelor,Analyst,110778
30,PhD,Analyst,143577
11,Bachelor,Manager,84071
28,Bachelor,Analyst,122280
11,Bachelor,Manager,86321
30,PhD,HR,128969
1,Master,Manager,62107
22,Bachelor,Data Scientist,100496
5,Master,HR,46228
5,PhD,Manager,93481
0,Master,Data Scientist,59746
5,Bachelor,Manager,67506
20,PhD,Software Engineer,117178
12,Master,HR,79118
23,Bachelor,HR,96445
20,Master,Manager,129843
7,Bachelor,Software Engineer,58425
15,Bachelor,Analyst,77397
21,Bachelor,Software Engineer,104742
9,Master,HR,74987
28,Master,HR,118182
30,Master,Analyst,140054
24,PhD,Manager,137543
23,Bachelor,Software Engineer,110593
3,Master,Manager,72428
12,Master,Analyst,96797
27,PhD,Data Scientist,142139
5,PhD,Analyst,69739
28,Bachelor,HR,112801
15,Master,Data Scientist,106184
1,Master,HR,47810
22,Master,Data Scientist,124015
25,PhD,Manager,146916
16,Master,HR,95154
12,Master,Manager,95795
11,Bachelor,Manager,83725
16,Master,HR,87437
9,PhD,HR,81653
22,PhD,HR,113220
6,Master,Data Scientist,70380
17,Bachelor,HR,88415
6,Bachelor,Software Engineer,65974
26,Master,HR,123563
2,Master,Software Engineer,56014
23,Bachelor,Manager,119334
25,PhD,Data Scientist,138637
3,Master,Manager,76456
9,Bachelor,Software Engineer,66021
0,PhD,HR,54684
17,Bachelor,Software Engineer,85263
30,Master,Data Scientist,146144
26,PhD,Analyst,128774
14,Bachelor,Manager,99843
26,PhD,Software Engineer,141350
16,Master,Analyst,102309
2,Bachelor,Data Scientist,47398
12,Bachelor,Software Engineer,80793
12,PhD,Data Scientist,101577
13,PhD,Manager,103176
12,Master,HR,76114
19,PhD,Software Engineer,114146
1,Master,Manager,59188
14,PhD,Manager,111018
5,Master,Analyst,61150
17,PhD,Manager,117522
9,Bachelor,Analyst,63118
14,Bachelor,Manager,99674
21,Master,Analyst,116127
8,Bachelor,Manager,72620
15,PhD,Data Scientist,104549
6,PhD,Manager,88853
9,PhD,Software Engineer,82306
10,PhD,Manager,96317
24,Bachelor,Analyst,94339
28,Bachelor,Manager,133048
4,PhD,Software Engineer,78389
5,Bachelor,Analyst,52810
18,PhD,HR,109917
22,Master,HR,96923
15,Bachelor,Data Scientist,100231
10,PhD,HR,79134
16,Bachelor,Data Scientist,96924
26,PhD,Data Scientist,149341
8,Master,Manager,85337
29,PhD,Manager,160455
0,Bachelor,Software Engineer,48315
9,Bachelor,HR,54548
1,Master,Data Scientist,58032
8,Master,Data Scientist,79699
16,Master,Analyst,87762
25,Master,HR,115149
12,PhD,Software Engineer,96996
27,Master,HR,131959
28,Bachelor,Manager,128742
17,Master,Data Scientist,106827
10,Master,Analyst,71797
20,PhD,Analyst,111299
4,Master,Analyst,53931
23,Master,Software Engineer,114955
4,Bachelor,Manager,59765
16,Master,Manager,107485
21,Bachelor,Manager,117166
12,Bachelor,Analyst,71581
28,Bachelor,Data Scientist,123902
23,Master,Data Scientist,127049
23,PhD,Software Engineer,122571
16,Master,Analyst,93871
9,PhD,Data Scientist,86256
24,Bachelor,Data Scientist,117030
30,Master,Analyst,135679
26,PhD,Software Engineer,149821
20,Bachelor,HR,89945
30,PhD,Data Scientist,151778
17,PhD,Manager,122668
17,PhD,Data Scientist,115750
21,Master,Analyst,101515
14,Bachelor,HR,74252
16,Bachelor,Data Scientist,96447
3,Master,Data Scientist,51431
28,PhD,HR,134727
6,PhD,Software Engineer,74561
3,Bachelor,Analyst,48552
12,Bachelor,HR,67004
4,Bachelor,HR,48974
9,Master,HR,71158
19,Bachelor,Software Engineer,104947
22,Master,Data Scientist,133666
3,Master,Data Scientist,67611
25,Master,Analyst,114104
25,PhD,Data Scientist,134882
18,Master,Manager,111423
16,PhD,Manager,123404
25,Bachelor,Data Scientist,121935
3,Master,Data Scientist,54569
13,Master,Data Scientist,95293
18,Bachelor,Analyst,83777
30,PhD,Software Engineer,148172
16,Bachelor,HR,74394
16,Bachelor,Manager,91660
29,PhD,Data Scientist,145167
11,Master,Data Scientist,95212
20,PhD,Software Engineer,123250
20,Master,HR,96695
30,PhD,Data Scientist,153352
10,Bachelor,Software Engineer,68708
26,Bachelor,HR,102682
14,Bachelor,Data Scientist,82148
22,PhD,Software Engineer,125415
16,Master,Data Scientist,106729
4,Master,Software Engineer,59546
24,Bachelor,Data Scientist,114376
24,PhD,HR,123869
13,Master,Software Engineer,91031
13,Bachelor,HR,65958
20,Bachelor,Data Scientist,108516
22,Master,Software Engineer,120391
6,Master,Software Engineer,67275
24,Master,Analyst,113959
26,Bachelor,Software Engineer,122447
18,PhD,Data Scientist,128662
21,Master,HR,109969
22,Master,Software Engineer,104070
4,Master,Data Scientist,70026
12,Master,Manager,92831
9,Master,Data Scientist,85286
8,Master,Data Scientist,68672
7,Bachelor,HR,50274
0,Master,Software Engineer,42240
12,PhD,HR,87124
20,Master,HR,96932
29,PhD,HR,142313
19,Master,Manager,116771
17,Master,Software Engineer,105249
8,Master,Analyst,70850
30,PhD,HR,134996
0,PhD,Data Scientist,68111
21,Master,Manager,125109
30,Master,HR,125762
7,Bachelor,Analyst,60681
10,Master,Analyst,82491
25,Bachelor,Manager,119102
1,Bachelor,Manager,56689
26,Master,Data Scientist,136684
23,Bachelor,Data Scientist,109710
6,Bachelor,HR,44983
5,Master,Data Scientist,69461
25,PhD,HR,131560
10,PhD,HR,84706
23,Master,Data Scientist,123184
27,PhD,Manager,147245
29,Bachelor,Analyst,131528
0,Bachelor,Data Scientist,39609
23,Bachelor,Analyst,107897
13,Master,Data Scientist,92843
11,Master,HR,81861
7,PhD,Software Engineer,73786
23,Bachelor,Data Scientist,109433
24,Bachelor,Manager,120946
30,Master,HR,133440
20,Master,Data Scientist,113508
25,PhD,Software Engineer,133933
0,Master,HR,44753
23,Master,Manager,125145
27,Master,Manager,135487
19,Master,Data Scientist,112696
25,Master,Software Engineer,132307
8,Master,HR,70537
25,Master,Analyst,119684
11,Bachelor,Software Engineer,68236
22,PhD,Analyst,126957
18,PhD,HR,107571
29,PhD,HR,127916
13,PhD,Software Engineer,102233
9,Bachelor,Software Engineer,67644
3,Master,HR,43954
17,PhD,Data Scientist,127891
9,Master,Software Engineer,78874
24,Master,Data Scientist,131266
10,PhD,Data Scientist,91258
15,PhD,Manager,114041
24,Bachelor,HR,107990
17,PhD,Manager,120625
26,Bachelor,Manager,135157
5,PhD,Analyst,71408
1,Master,Data Scientist,66145
27,PhD,HR,128745
18,Bachelor,Manager,107306
9,Bachelor,Data Scientist,76591
20,Bachelor,Data Scientist,101654
0,Master,HR,46064
5,PhD,Software Engineer,74229
21,PhD,Software Engineer,122728
25,PhD,Software Engineer,137473
19,PhD,Software Engineer,109734
8,Bachelor,HR,51410
27,PhD,Manager,151704
23,Bachelor,HR,98712
25,Master,Data Scientist,130164
2,PhD,Software Engineer,60966
3,Bachelor,Manager,58859
2,Bachelor,Software Engineer,50228
26,PhD,Analyst,135333
10,Master,Software Engineer,74075
7,Bachelor,Data Scientist,71379
7,Master,Software Engineer,67280
28,Bachelor,HR,111570
20,Master,Software Engineer,113789
19,Master,Analyst,102936
4,Bachelor,Software Engineer,57914
10,Bachelor,Manager,78568
17,PhD,Manager,116299
24,Bachelor,HR,107606
30,Master,Analyst,135476
28,Bachelor,HR,106127
30,Bachelor,Analyst,126587
25,Bachelor,Data Scientist,115714
24,Master,Analyst,119878
14,Master,Data Scientist,94309
14,PhD,Data Scientist,107343
10,Bachelor,HR,56703
4,PhD,HR,61028
20,PhD,Data Scientist,123889
21,Bachelor,Analyst,95785
5,PhD,Manager,87701
22,PhD,Analyst,115294
23,Master,Data Scientist,119456
2,Master,HR,58258
6,Master,HR,60611
10,Master,HR,67936
21,Master,Data Scientist,111943
26,Master,Data Scientist,130616
0,Bachelor,Software Engineer,46956
3,PhD,Analyst,61591
10,PhD,Software Engineer,88178
0,Bachelor,Analyst,40460
18,PhD,Manager,121656
22,Bachelor,Data Scientist,110673
1,Bachelor,Data Scientist,44915
20,PhD,Analyst,113494
22,PhD,Data Scientist,134847
0,Bachelor,HR,29077
18,Bachelor,Analyst,91433
6,PhD,HR,63394
11,Bachelor,Manager,83384
1,Bachelor,Manager,60397
12,PhD,HR,92237
28,Bachelor,Manager,130023
16,Bachelor,HR,72291
19,Master,Manager,113751
27,PhD,Analyst,140298
8,Bachelor,HR,52103
12,Master,Analyst,85018
0,Master,Data Scientist,43213
4,Bachelor,Software Engineer,51238
5,Bachelor,Manager,69176
19,Bachelor,HR,84813
0,PhD,Data Scientist,64898
17,Bachelor,Data Scientist,97075
7,Bachelor,HR,45987
14,Bachelor,Manager,90817
